dateiname	tbeg_klass_art	erlaeuterung
qk20081106_1bvq004108	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20081107a_1bvq004308	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20081127_1bvq004608	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20090617_1bvq002609	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20090731_2bvq004509	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20090807_1bvq003509	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20090810_1bvq003409	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20090824_2bvq005009	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20090826_1bvq003709	Regeln-Absatz	automatisch annotiert in ebene-Tags
qk20090908_2bvq005609	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20090908_2bvq005709	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20090910_2bvq005809	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20090923_2bvq006809	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20090924_1bvq004309	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20091105_2bvq007709	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20100218_2bvq000810	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20100310_2bvq001010	Regeln-Absatz	automatisch annotiert in ebene-Tags
qk20100802_1bvq002310	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20100920_1bvq003410	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20100923_1bvq002810	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20110217_2bvq005010	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20110614_2bvq002111	Regeln-Absatz	automatisch annotiert in ebene-Tags
qk20120127a_1bvq000412	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20120406_1bvq001212	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20120716_2bvq003112	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20121212_2bvq005412	Regeln-Absatz	automatisch annotiert in ebene-Tags
qk20130213_1bvq000213	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20130417a_2bvq001713	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20130731_1bvq002813	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20130920_1bvq004113	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20130928_1bvq004213	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20131029_1bvq004413	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20131206_2bvq005513	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20140212_1bvq000814	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20140217_2bvq000414	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20140730_2bvq002614	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20150513_1bvq000915	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20150720_1bvq002515	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20150829_1bvq003215	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20150905_1bvq003015	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20150924_1bvq003615	Regeln-Absatz	automatisch annotiert in ebene-Tags
qk20150930_2bvq002915	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20151111_2bvq004015	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20151127a_2bvq004315	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20151202_1bvq004715	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20160224_1bvq000816	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20160517_2bvq001916	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20160608_1bvq004215	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20160713_2bvq002616	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20160718_1bvq002716	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20160810_2bvq003616	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20160826_2bvq004616	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20160915_1bvq003816	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20160929_1bvq003316	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20161013_1bvq004216	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20161114_1bvq004616	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20161206_1bvq004516	Regeln-Absatz	automatisch annotiert in ebene-Tags
qk20161214_1bvq004816	SVM-WE-Satz	automatisch annotiert in ebene-Tags
qk20161227_1bvq004916	Regeln-Absatz	automatisch annotiert in ebene-Tags
qk20170117_1bvq000417	Regeln-Absatz	automatisch annotiert in ebene-Tags
qk20170126_1bvq000417	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20170302_2bvq000717	Regeln-Satz	automatisch annotiert in ebene-Tags
qk20170326_1bvq001517	Regeln-Satz	automatisch annotiert in ebene-Tags
